0.0,0.0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,2.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,31.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,23.0,16.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,10.0,0,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.0,0.0,0.0,3,0.0,24.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,18.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2.0,0.0,12,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,33.0,2.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.0,0.0,0.0,23,0.0,3.0,0.0,0,0.0,21.0,0.0,20,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,4.0,0.0,0.0,0,0.0,3.0,0.0,31,3.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,8.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,5.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.0,0.0,0.0,0,28.0,0.0,0.0,0,0.0,12.0,0.0,0,0.0,0.0,0.0,0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12.0,0,45.0,0.0,0.0,0,0.0,0.0,0.0,21,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,38.0,0.0,0.0,0,0.0,0.0,0.0,21,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,44.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,14,1.0,0.0,0.0,0,0.0,0.0,2.0,0,0.0,0.0,0.0
0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,24.0,0.0,0.0,2,0.0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,2.0,0,0.0,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,1.0,0.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,10,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2.0,0,0.0,0.0,9.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,0.0
0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,14.0,5.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,49.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,2.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,11,0.0,0.0,0.0,0,0.0,0.0,0.0,57,2.0,0.0,9.0,0,0.0,4.0,0.0,0,0.0,0.0,0.0
0.0,0.0,1.0,0,0.0,0.0,0.0,0,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,23.0,0.0,0.0,7.0,1.0,0,0.0,0.0,0.0,0,8.0,0.0,0.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,3.0,0.0,0,0.0,0.0,0.0,0,0.0,13.0,0.0,12,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.0,0.0,3.0,0,3.0,0.0,0.0,31,0.0,0.0,12.0,0,0.0,7.0,0.0,0,0.0,0.0,0.0
26.0,0.0,0.0,0,4.0,0.0,21.0,0,0.0,0.0,0.0,0,0.0,0.0,30.0,0,20.0,0.0,0.0,36.0,25.0,22.0,0.0,0,0.0,0.0,4.0,1,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,105.0,0.0,0.0,0,0.0,48.0,1.0,0,0.0,0.0,0,56.0,0.0,0.0,0,5.0,0.0,0.0,0,0.0,0.0,0.0,22,0.0,0.0,5.0,0,0.0,0.0,0.0,13,1.0,0.0,0.0,0,10.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,7.0,0.0,0.0
0.0,0.0,0.0,0,0.0,0.0,0.0,13,16.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0,0.0,0.0,0.0,0,12.0,0.0,0.0,19,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,13.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,31.0,0.0,0.0,2,0.0,0.0,0.0,0,29.0,0.0,0.0,3,0.0,0.0,17.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
26.0,0.0,12.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,77.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4.0,0.0,0,11.0,0.0,0.0,0,0.0,3.0,0,0.0,3.0,0.0,0,0.0,0.0,12.0,20,0.0,0.0,0.0,0,0.0,0.0,0.0,0,27.0,0.0,0.0,8,0.0,0.0,0.0,0,69.0,0.0,0.0,13,0.0,0.0,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
6.0,0.0,26.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,0.0,0.0,0.0,0,0.0,0.0,0,1.0,2.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,24.0,0,0.0,3.0,0.0,0,0.0,0.0,3.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,7.0,0.0,0.0,0,0.0,8.0,0.0,0,4.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.0,0.0,0.0,0,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,12.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,6.0,0.0,6.0,0,0.0,24.0,0.0,0,0.0,0.0,0.0,0,0.0,59.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,16,0.0,40.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4.0,2.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,11.0,0,0.0,3.0,0.0,0,0.0,0.0,0.0,0,0.0,46.0,0.0,0,0.0,0.0,0.0,0,4.0,0.0,0.0
0.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,40.0,0.0,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4.0,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,11.0,0,0.0,3.0,0.0,0,0.0,0.0,0.0,0,0.0,46.0,0.0,0,0.0,0.0,0.0,0,4.0,0.0,0.0
,,,0,,,,0,,,,0,,,,0,,,,0.0,,,,0,,,,0,,,,5,,,,0,,,,0,,,0,,,,0,,,,0,,,,5,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
15.0,0.0,0.0,0,7.0,0.0,47.0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0,10.0,0.0,0.0,9.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,5.0,0.0,11,0.0,0.0,0,0.0,0.0,1.0,0,11.0,0.0,0.0,0,10.0,0.0,0.0,0,0.0,9.0,0,36.0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,14,0.0,0.0,1.0,0,0.0,0.0,0.0,5,4.0,0.0,0.0,0,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
21.0,0.0,0.0,0,1.0,0.0,2.0,0,0.0,0.0,0.0,0,0.0,0.0,49.0,0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,25,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,30,0.0,0.0,0.0,24,0.0,0.0,0,0.0,0.0,10.0,38,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,77.0,0.0,0.0,0,0.0,0.0,0.0,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,3.0,2.0,0,0.0,0.0,0.0,0,4.0,0.0,0.0,0,0.0,0.0,0.0,8,0.0,0.0,0.0,0,0.0,0.0,0.0
0.0,0.0,0.0,0,0.0,16.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,38.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,3,0.0,0.0,39.0,0,0.0,0.0,0.0,4,0.0,15.0,0.0,0,0.0,0.0,0,0.0,0.0,11.0,0,0.0,11.0,0.0,0,0.0,0.0,0.0,0,6.0,0.0,0,4.0,6.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,4.0,0.0,0.0,0,0.0,0.0,7.0,0,0.0,0.0,9.0,0,0.0,0.0,0.0,0,0.0,2.0,0.0,0,0.0,10.0,0.0,0,2.0,0.0,0.0
7.0,0.0,0.0,0,25.0,0.0,0.0,0,0.0,0.0,91.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,7.0,0.0,16.0,0,2.0,0.0,0.0,0,0.0,0.0,0.0,11,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,4.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0,0.0,0.0,0.0
0.0,0.0,0.0,0,1.0,25.0,0.0,0,0.0,0.0,0.0,0,18.0,14.0,57.0,6,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,5.0,0,0.0,0.0,0.0,0,7.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,20.0,0,0.0,38.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,4.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,25.0,0.0,2,8.0,0.0,0.0
0.0,0.0,0.0,0,6.0,0.0,8.0,0,0.0,0.0,0.0,0,0.0,0.0,48.0,0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0,0.0,0.0,43.0,0,0.0,20.0,0.0,0,0.0,0.0,0.0,0,28.0,0.0,0.0,19,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,6.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,7,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,9.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,10,5.0,0.0,0.0
0.0,0.0,0.0,0,0.0,0.0,41.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0,0.0,0.0,15.0,0,1.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,11,2.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,5.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,17.0,0.0,0,0.0,55.0,0.0,0,0.0,0.0,6.0,4,0.0,0.0,4.0,5,4.0,0.0,0.0
0.0,0.0,1.0,0,0.0,0.0,10.0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,1.0,0,1.0,0.0,0.0,0,39.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,10,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,25.0,0.0,2,0.0,0.0,0.0,6,0.0,0.0,7.0,7,0.0,0.0,23.0,0,0.0,0.0,0.0
0.0,0.0,1.0,0,0.0,0.0,2.0,0,0.0,1.0,0.0,0,16.0,13.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,3,11.0,0.0,1.0,0,22.0,1.0,0.0,0,6.0,0.0,0,0.0,0.0,0.0,0,18.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,16.0,25.0,0.0,1,0.0,0.0,0.0,47,0.0,0.0,20.0,0,0.0,3.0,0.0,0,0.0,1.0,0.0,0,0.0,1.0,0.0,34,0.0,18.0,0.0,8,0.0,0.0,28.0,0,0.0,0.0,0.0
5.0,0.0,0.0,0,0.0,5.0,1.0,0,0.0,40.0,0.0,0,0.0,60.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,27,0.0,0.0,0.0,18,0.0,0.0,8.0,0,1.0,4.0,1.0,0,0.0,33.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,7.0,0.0,0.0,0,0.0,2.0,0.0,7,4.0,0.0,0.0,0,0.0,0.0,25.0,0,0.0,0.0,0.0,0,0.0,1.0,15.0,0,0.0,1.0,0.0,6,0.0,8.0,0.0,1,0.0,5.0,17.0,0,0.0,0.0,0.0
0.0,0.0,0.0,0,19.0,1.0,0.0,0,0.0,7.0,0.0,0,0.0,13.0,0.0,21,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0,0.0,0.0,12.0,11,0.0,0.0,0.0,3,0.0,0.0,10.0,0,3.0,1.0,0.0,0,0.0,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,35.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,13.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,2.0,0,0.0,0.0,0.0,3,0.0,0.0,30.0,0,0.0,2.0,0.0,18,0.0,0.0,0.0,0,0.0,0.0,43.0,7,0.0,6.0,0.0
0.0,0.0,0.0,0,29.0,47.0,0.0,0,0.0,0.0,0.0,0,56.0,15.0,5.0,0,0.0,0.0,21.0,0.0,0.0,0.0,26.0,0,0.0,0.0,5.0,0,0.0,0.0,1.0,0,0.0,0.0,43.0,0,0.0,2.0,4.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,22.0,0,0.0,0.0,0.0,0,3.0,0.0,0.0,0,0.0,0.0,0.0,14,0.0,2.0,21.0,14,0.0,1.0,4.0,0,0.0,0.0,27.0,7,0.0,0.0,0.0,0,0.0,4.0,0.0,10,0.0,2.0,0.0
0.0,0.0,0.0,0,63.0,10.0,0.0,0,0.0,0.0,0.0,0,5.0,12.0,0.0,2,0.0,0.0,63.0,0.0,0.0,0.0,1.0,0,4.0,0.0,6.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,49.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,2.0,0.0,0.0,0,0.0,0.0,0.0,16,0.0,13.0,26.0,0,0.0,0.0,0.0,1,0.0,0.0,10.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,3.0,0.0
0.0,0.0,12.0,0,7.0,0.0,21.0,0,0.0,0.0,0.0,0,0.0,17.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,35.0,0,0.0,0.0,0.0,5,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,4,7.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,17,0.0,20.0,0.0,0,0.0,1.0,0.0,9,0.0,0.0,1.0,0,0.0,5.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
7.0,0.0,0.0,8,8.0,0.0,0.0,0,0.0,0.0,99.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2.0,0.0,1,0.0,0.0,0.0,0,0.0,13.0,0,62.0,0.0,26.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,3.0,6.0,0.0,0,12.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,2.0,0,0.0,0.0,0.0
14.0,0.0,0.0,0,1.0,7.0,46.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,2.0,0,0.0,0.0,8.0,0,0.0,0.0,0.0,0,3.0,0.0,27,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2.0,0.0,0,0.0,0.0,0,0.0,11.0,0.0,10,21.0,0.0,3.0,4,0.0,0.0,0.0,0,0.0,0.0,0.0,18,0.0,6.0,1.0,0,0.0,0.0,0.0,33,0.0,1.0,3.0,0,0.0,1.0,0.0,0,7.0,0.0,6.0,0,0.0,10.0,0.0
15.0,8.0,0.0,2,2.0,14.0,1.0,0,0.0,0.0,0.0,0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,32.0,0.0,12,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,30.0,0.0,0,0.0,0.0,0,0.0,8.0,0.0,0,1.0,0.0,3.0,15,0.0,1.0,3.0,0,0.0,0.0,5.0,8,0.0,0.0,100.0,1,0.0,7.0,0.0,42,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,3.0,0.0,0,0.0,0.0,0.0
1.0,0.0,0.0,14,0.0,0.0,0.0,0,2.0,0.0,0.0,0,1.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,11.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,15.0,0.0,0.0,0,102.0,0.0,0,0.0,0.0,0.0,21,0.0,0.0,0.0,0,0.0,30.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,6.0,10.0,11,0.0,0.0,2.0,0,0.0,0.0,2.0,0,0.0,0.0,9.0,1,0.0,4.0,0.0,10,0.0,3.0,0.0,6,0.0,0.0,0.0,0,0.0,17.0,0.0,0,0.0,0.0,0.0
17.0,0.0,0.0,0,4.0,37.0,0.0,0,0.0,0.0,0.0,0,2.0,13.0,0.0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,36.0,0,0.0,0.0,4.0,0,1.0,0.0,0.0,0,16.0,0.0,0.0,0,11.0,0.0,2,0.0,0.0,0.0,3,0.0,0.0,0.0,31,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,0.0,1.0,2.0,0,0.0,0.0,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,3.0,2,0.0,10.0,0.0,19,0.0,0.0,0.0,0,0.0,13.0,0.0,0,0.0,0.0,0.0
35.0,0.0,0.0,0,3.0,18.0,0.0,0,50.0,0.0,0.0,0,7.0,1.0,0.0,0,21.0,0.0,0.0,0.0,0.0,0.0,11.0,0,0.0,0.0,16.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,34.0,0,0.0,0.0,0,0.0,21.0,0.0,22,0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,5,0.0,0.0,0.0,0,0.0,4.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,19.0,0,0.0,5.0,0.0
0.0,0.0,0.0,0,0.0,5.0,0.0,0,11.0,2.0,0.0,8,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,0,0.0,0.0,2.0,0,0.0,0.0,13.0,0,5.0,0.0,0.0,13,1.0,0.0,0.0,0,0.0,0.0,8,0.0,43.0,26.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0,0.0,2.0,0.0,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,13.0,0,0.0,0.0,1.0,2,0.0,7.0,0.0,0,6.0,0.0,0.0,10,0.0,7.0,22.0
0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.0,31.0,0.0,1,11.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,2.0,0,13.0,0.0,0.0,0,4.0,0.0,0.0,0,0.0,0.0,3,0.0,25.0,0.0,0,0.0,0.0,0.0,0,0.0,12.0,0.0,0,0.0,0.0,0,0.0,27.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,8.0,0,0.0,0.0,60.0,0,0.0,8.0,0.0,0,31.0,0.0,0.0,18,3.0,32.0,8.0
0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,32.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0,0.0,0.0,9.0,0,5.0,0.0,0.0,0,11.0,0.0,0.0,0,0.0,0.0,0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,18.0,0.0,0,0.0,0.0,0.0,0,0.0,3.0,0.0,0,19.0,0.0,0.0,3,0.0,0.0,1.0,0,0.0,0.0,4.0,0,0.0,0.0,1.0,0,0.0,7.0,25.0,0,16.0,0.0,2.0,27,0.0,7.0,0.0
0.0,0.0,0.0,0,5.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,35.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,86,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,7.0,0.0,3,0.0,0.0,5.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,0.0,0,0.0,0.0,1.0,0,0.0,10.0,67.0,0,12.0,0.0,1.0,9,0.0,0.0,0.0
